   batter, seasons, games, inn,  PA,  AB,   R,   H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,      RC,      XR
 Michelle,       9,    47, 268, 154, 147,  31,  56,   1,   0,  0,  19,  7,  2,  0,   3, 0.381, 0.409, 0.388, 0.797, 0.054,  24.907,  22.570
  Minchun,       3,    13,  48,  23,  22,   4,   6,   1,   0,  0,   3,  1,  4,  0,   0, 0.273, 0.304, 0.318, 0.623, 0.091,   2.270,   2.440
     Nate,       1,     1,   6,   3,   3,   2,   2,   0,   0,  0,   1,  0,  0,  0,   0, 0.667, 0.667, 0.667, 1.333, 0.000,   1.133,   0.910
   Nicole,       5,    13,  70,  38,  35,   3,  10,   0,   0,  0,   2,  3,  3,  0,   0, 0.286, 0.342, 0.286, 0.628, 0.086,   4.189,   4.010
  Patrick,       1,     5,  25,  16,  15,   9,  10,   2,   1,  2,   7,  0,  0,  0,   0, 0.667, 0.667, 1.333, 2.000, 0.667,   8.282,   7.410
 Pei-Fang,       1,     1,   5,   3,   3,   1,   1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,   0.375,   0.320
     Rafe,       1,     2,   6,   3,   3,   0,   1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,   0.375,   0.320
    Renee,       1,     2,  14,   7,   6,   0,   0,   0,   0,  0,   2,  1,  3,  0,   0, 0.000, 0.143, 0.000, 0.143, 0.167,  -0.319,   0.040
     Ryan,       1,     2,   8,   4,   4,   0,   3,   0,   0,  0,   1,  0,  0,  0,   0, 0.750, 0.750, 0.750, 1.500, 0.000,   1.781,   1.410
    Sally,       1,     1,   5,   3,   3,   1,   1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,   0.375,   0.320
  Sandeep,       1,     2,   7,   4,   4,   1,   1,   0,   0,  0,   1,  0,  0,  0,   0, 0.250, 0.250, 0.250, 0.500, 0.000,   0.265,   0.230
   Sandya,       3,    12,  69,  34,  29,   3,   3,   0,   0,  0,   2,  5, 15,  0,   0, 0.103, 0.235, 0.103, 0.339, 0.172,   0.504,   2.060
    Sarah,      10,    55, 302, 154, 141,  25,  40,   4,   0,  0,   6, 13, 21,  0,   0, 0.284, 0.344, 0.312, 0.656, 0.121,  17.570,  17.890
     Seth,      11,    64, 322, 157, 153,  53,  90,  15,   2,  9,  50,  3,  2,  1,   1, 0.588, 0.592, 0.889, 1.481, 0.320,  60.832,  53.720
   Sharon,       2,     3,  16,   6,   5,   1,   0,   0,   0,  0,   0,  1,  3,  0,   0, 0.000, 0.167, 0.000, 0.167, 0.200,  -0.218,   0.130
      Shu,       1,     1,   1,   0,   0,   0,   0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,   0.000,   0.000
 Svetlana,       5,     7,  37,  16,  13,   2,   2,   0,   0,  0,   1,  3,  4,  0,   0, 0.154, 0.312, 0.154, 0.466, 0.231,   0.959,   1.350
  Tatsuki,       6,    19,  90,  39,  39,   9,  19,   3,   1,  1,  10,  0,  1,  0,   0, 0.487, 0.487, 0.692, 1.179, 0.205,  11.265,   9.920
  Tiffany,       2,     3,  20,  11,  11,   2,   3,   0,   0,  0,   2,  0,  1,  0,   1, 0.273, 0.273, 0.273, 0.545, 0.000,   0.523,   0.860
     Tina,       6,    16,  82,  40,  33,   7,   5,   0,   0,  0,   3,  6,  9,  0,   0, 0.152, 0.282, 0.152, 0.434, 0.182,   1.749,   2.740
     Tori,       1,     1,   5,   3,   2,   0,   0,   0,   0,  0,   0,  1,  0,  0,   0, 0.000, 0.333, 0.000, 0.333, 0.500,   0.121,   0.160
  Whitney,       4,    12,  67,  36,  30,   6,  12,   0,   0,  0,   7,  5,  0,  1,   0, 0.400, 0.472, 0.400, 0.872, 0.167,   6.995,   6.450
     Will,      11,    69, 317, 151, 135,  46,  67,  12,   2,  2,  28, 14, 10,  2,   0, 0.496, 0.536, 0.659, 1.196, 0.267,  43.156,  39.280
   Zu-Wen,       1,     1,   2,   1,   1,   0,   0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,  -0.100,  -0.090
